state,year,quarter,gennme_c,prodnme,strngth,mstfmds,suppression_used,total_prescriptions
ca,2012,1,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,FALSE,1200
ca,2012,1,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,TRUE,0
ca,2012,1,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Tablet,FALSE,949
ca,2012,2,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",FALSE,76
ca,2012,2,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2012,2,Buprenorphine,BUTRANS,20 MCG/1 HR,"Patch, Extended Release",FALSE,38
ca,2012,2,Buprenorphine,BUTRANS,5 MCG/1 HR,"Patch, Extended Release",FALSE,29
ca,2012,2,Buprenorphine,BUTRANS,5 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2012,2,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,FALSE,30
ca,2012,2,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,TRUE,0
ca,2012,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,FALSE,235
ca,2012,2,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Film,FALSE,59
ca,2012,2,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Tablet,FALSE,80
ca,2012,2,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,FALSE,1186
ca,2012,2,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,TRUE,0
ca,2012,2,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Tablet,FALSE,881
ca,2012,2,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Tablet,TRUE,0
ca,2012,3,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",FALSE,126
ca,2012,3,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2012,3,Buprenorphine,BUTRANS,20 MCG/1 HR,"Patch, Extended Release",FALSE,50
ca,2012,3,Buprenorphine,BUTRANS,20 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2012,3,Buprenorphine,BUTRANS,5 MCG/1 HR,"Patch, Extended Release",FALSE,43
ca,2012,3,Buprenorphine,BUTRANS,5 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2012,3,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,FALSE,57
ca,2012,3,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,TRUE,0
ca,2012,3,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,FALSE,292
ca,2012,3,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Film,FALSE,93
ca,2012,3,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Tablet,FALSE,106
ca,2012,3,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,FALSE,1518
ca,2012,3,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,TRUE,0
ca,2012,3,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Tablet,FALSE,1061
ca,2012,3,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Tablet,TRUE,0
ca,2012,4,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",FALSE,121
ca,2012,4,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2012,4,Buprenorphine,BUTRANS,20 MCG/1 HR,"Patch, Extended Release",FALSE,57
ca,2012,4,Buprenorphine,BUTRANS,5 MCG/1 HR,"Patch, Extended Release",FALSE,44
ca,2012,4,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,FALSE,79
ca,2012,4,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,TRUE,0
ca,2012,4,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,FALSE,283
ca,2012,4,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,TRUE,0
ca,2012,4,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Film,FALSE,104
ca,2012,4,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Tablet,FALSE,83
ca,2012,4,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,FALSE,1611
ca,2012,4,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,TRUE,0
ca,2012,4,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Tablet,FALSE,805
ca,2012,4,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Tablet,TRUE,0
ca,2013,1,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",FALSE,104
ca,2013,1,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2013,1,Buprenorphine,BUTRANS,20 MCG/1 HR,"Patch, Extended Release",FALSE,69
ca,2013,1,Buprenorphine,BUTRANS,20 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2013,1,Buprenorphine,BUTRANS,5 MCG/1 HR,"Patch, Extended Release",FALSE,34
ca,2013,1,Buprenorphine,BUTRANS,5 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2013,1,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,FALSE,71
ca,2013,1,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,TRUE,0
ca,2013,1,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,FALSE,279
ca,2013,1,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,TRUE,0
ca,2013,1,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,TRUE,0
ca,2013,1,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,TRUE,0
ca,2013,1,Buprenorphine/Naloxone,SUBOXONE,12 MG-3 MG,Film,TRUE,0
ca,2013,1,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Film,FALSE,100
ca,2013,1,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Film,TRUE,0
ca,2013,1,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Tablet,FALSE,62
ca,2013,1,Buprenorphine/Naloxone,SUBOXONE,4 MG-1 MG,Film,TRUE,0
ca,2013,1,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,FALSE,1414
ca,2013,1,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,TRUE,0
ca,2013,1,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Tablet,FALSE,682
ca,2013,1,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Tablet,TRUE,0
ca,2013,2,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",FALSE,97
ca,2013,2,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2013,2,Buprenorphine,BUTRANS,20 MCG/1 HR,"Patch, Extended Release",FALSE,101
ca,2013,2,Buprenorphine,BUTRANS,20 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2013,2,Buprenorphine,BUTRANS,5 MCG/1 HR,"Patch, Extended Release",FALSE,40
ca,2013,2,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,FALSE,51
ca,2013,2,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,TRUE,0
ca,2013,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,FALSE,295
ca,2013,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,TRUE,0
ca,2013,2,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,FALSE,22
ca,2013,2,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,TRUE,0
ca,2013,2,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,FALSE,161
ca,2013,2,Buprenorphine/Naloxone,SUBOXONE,12 MG-3 MG,Film,FALSE,16
ca,2013,2,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Film,FALSE,98
ca,2013,2,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Film,TRUE,0
ca,2013,2,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Tablet,FALSE,35
ca,2013,2,Buprenorphine/Naloxone,SUBOXONE,4 MG-1 MG,Film,FALSE,22
ca,2013,2,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,FALSE,1515
ca,2013,2,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,TRUE,0
ca,2013,2,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Tablet,FALSE,372
ca,2013,3,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",FALSE,137
ca,2013,3,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2013,3,Buprenorphine,BUTRANS,20 MCG/1 HR,"Patch, Extended Release",FALSE,136
ca,2013,3,Buprenorphine,BUTRANS,20 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2013,3,Buprenorphine,BUTRANS,5 MCG/1 HR,"Patch, Extended Release",FALSE,33
ca,2013,3,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,FALSE,84
ca,2013,3,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,TRUE,0
ca,2013,3,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,FALSE,485
ca,2013,3,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,FALSE,71
ca,2013,3,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,FALSE,552
ca,2013,3,Buprenorphine/Naloxone,SUBOXONE,12 MG-3 MG,Film,FALSE,32
ca,2013,3,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Film,FALSE,164
ca,2013,3,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Film,TRUE,0
ca,2013,3,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Tablet,TRUE,0
ca,2013,3,Buprenorphine/Naloxone,SUBOXONE,4 MG-1 MG,Film,FALSE,27
ca,2013,3,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,FALSE,2080
ca,2013,3,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,TRUE,0
ca,2013,3,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Tablet,FALSE,124
ca,2013,4,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",FALSE,107
ca,2013,4,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2013,4,Buprenorphine,BUTRANS,15 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2013,4,Buprenorphine,BUTRANS,20 MCG/1 HR,"Patch, Extended Release",FALSE,110
ca,2013,4,Buprenorphine,BUTRANS,20 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2013,4,Buprenorphine,BUTRANS,5 MCG/1 HR,"Patch, Extended Release",FALSE,33
ca,2013,4,Buprenorphine,BUTRANS,5 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2013,4,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,FALSE,62
ca,2013,4,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,TRUE,0
ca,2013,4,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,FALSE,411
ca,2013,4,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,FALSE,56
ca,2013,4,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,FALSE,529
ca,2013,4,Buprenorphine/Naloxone,SUBOXONE,12 MG-3 MG,Film,FALSE,23
ca,2013,4,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Film,FALSE,140
ca,2013,4,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Film,TRUE,0
ca,2013,4,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Tablet,TRUE,0
ca,2013,4,Buprenorphine/Naloxone,SUBOXONE,4 MG-1 MG,Film,FALSE,30
ca,2013,4,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,FALSE,1725
ca,2013,4,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,TRUE,0
ca,2013,4,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Tablet,TRUE,0
ca,2013,4,Buprenorphine/Naloxone,ZUBSOLV,5.7 MG-1.4 MG,Tablet,TRUE,0
ca,2014,1,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",FALSE,98
ca,2014,1,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2014,1,Buprenorphine,BUTRANS,15 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2014,1,Buprenorphine,BUTRANS,20 MCG/1 HR,"Patch, Extended Release",FALSE,113
ca,2014,1,Buprenorphine,BUTRANS,20 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2014,1,Buprenorphine,BUTRANS,5 MCG/1 HR,"Patch, Extended Release",FALSE,26
ca,2014,1,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,FALSE,81
ca,2014,1,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,TRUE,0
ca,2014,1,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,FALSE,528
ca,2014,1,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,TRUE,0
ca,2014,1,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,FALSE,81
ca,2014,1,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,FALSE,754
ca,2014,1,Buprenorphine/Naloxone,SUBOXONE,12 MG-3 MG,Film,FALSE,25
ca,2014,1,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Film,FALSE,154
ca,2014,1,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Film,TRUE,0
ca,2014,1,Buprenorphine/Naloxone,SUBOXONE,4 MG-1 MG,Film,FALSE,43
ca,2014,1,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,FALSE,2158
ca,2014,1,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,TRUE,0
ca,2014,1,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Tablet,TRUE,0
ca,2014,1,Buprenorphine/Naloxone,ZUBSOLV,5.7 MG-1.4 MG,Tablet,TRUE,0
ca,2014,2,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",FALSE,164
ca,2014,2,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2014,2,Buprenorphine,BUTRANS,15 MCG/1 HR,"Patch, Extended Release",FALSE,23
ca,2014,2,Buprenorphine,BUTRANS,20 MCG/1 HR,"Patch, Extended Release",FALSE,163
ca,2014,2,Buprenorphine,BUTRANS,20 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2014,2,Buprenorphine,BUTRANS,5 MCG/1 HR,"Patch, Extended Release",FALSE,61
ca,2014,2,Buprenorphine Hydrochloride,BUPRENEX,0.3 MG/1 ML,Solution,TRUE,0
ca,2014,2,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,FALSE,96
ca,2014,2,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,TRUE,0
ca,2014,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,FALSE,959
ca,2014,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,TRUE,0
ca,2014,2,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,FALSE,118
ca,2014,2,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,FALSE,1569
ca,2014,2,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,TRUE,0
