utilization.type,year,state,quarter,gennme,prodnme,strngth,mstfmds,suppression,totalRX
MCOU,2020,GA,1,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,845
MCOU,2019,GA,3,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,889
MCOU,2019,GA,4,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,839
FFSU,2019,GA,3,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,198
FFSU,2019,GA,1,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,169
FFSU,2019,GA,4,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,210
MCOU,2019,GA,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,895
FFSU,2019,GA,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,181
MCOU,2019,GA,1,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,647
MCOU,2018,GA,4,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,646
MCOU,2018,GA,3,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,533
MCOU,2018,GA,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,402
FFSU,2018,GA,4,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,147
FFSU,2018,GA,3,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,150
MCOU,2018,GA,1,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,376
FFSU,2018,GA,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,129
FFSU,2018,GA,1,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,94
MCOU,2017,GA,3,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,515
FFSU,2017,GA,4,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,32
MCOU,2017,GA,1,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,353
MCOU,2017,GA,4,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,384
FFSU,2017,GA,3,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,20
FFSU,2017,GA,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,36
MCOU,2017,GA,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,431
FFSU,2017,GA,1,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,21
FFSU,2016,GA,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,16
FFSU,2016,GA,3,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,T,0
FFSU,2016,GA,1,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,25
FFSU,2016,GA,4,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,17
MCOU,2016,GA,3,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,200
MCOU,2016,GA,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,215
MCOU,2016,GA,1,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,195
MCOU,2016,GA,4,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,251
FFSU,2015,GA,3,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,T,0
FFSU,2015,GA,1,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,T,0
MCOU,2015,GA,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,206
FFSU,2015,GA,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,31
MCOU,2015,GA,3,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,177
MCOU,2015,GA,4,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,225
MCOU,2015,GA,1,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,239
FFSU,2015,GA,4,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,27
FFSU,2014,GA,4,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,T,0
FFSU,2014,GA,1,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,T,0
FFSU,2014,GA,3,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,T,0
MCOU,2014,GA,3,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,301
MCOU,2014,GA,1,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,234
MCOU,2014,GA,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,282
FFSU,2014,GA,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,21
MCOU,2014,GA,4,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,237
FFSU,2013,GA,4,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,16
FFSU,2013,GA,3,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,T,0
FFSU,2013,GA,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,T,0
FFSU,2013,GA,1,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,14
MCOU,2013,GA,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,212
MCOU,2013,GA,1,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,205
MCOU,2013,GA,4,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,276
MCOU,2013,GA,3,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,263
FFSU,2012,GA,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,T,0
MCOU,2012,GA,1,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,164
FFSU,2012,GA,1,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,T,0
FFSU,2012,GA,3,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,T,0
MCOU,2012,GA,3,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,176
FFSU,2012,GA,4,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,16
MCOU,2012,GA,4,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,187
MCOU,2012,GA,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,193
FFSU,2011,GA,3,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,T,0
FFSU,2011,GA,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,T,0
FFSU,2011,GA,4,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,T,0
MCOU,2011,GA,4,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,148
MCOU,2011,GA,1,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,92
MCOU,2011,GA,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,101
FFSU,2010,GA,4,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,T,0
FFSU,2010,GA,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,T,0
FFSU,2010,GA,1,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,T,0
MCOU,2010,GA,3,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,62
MCOU,2020,GA,1,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,F,86
MCOU,2019,GA,4,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,F,75
MCOU,2019,GA,1,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,F,67
MCOU,2019,GA,2,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,F,117
MCOU,2019,GA,3,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,F,71
MCOU,2018,GA,4,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,F,27
MCOU,2018,GA,3,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,F,36
MCOU,2018,GA,2,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,F,42
MCOU,2018,GA,1,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,F,45
MCOU,2017,GA,2,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,T,0
MCOU,2017,GA,1,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,T,0
MCOU,2017,GA,4,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,F,43
MCOU,2017,GA,3,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,F,13
MCOU,2016,GA,2,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,T,0
MCOU,2016,GA,1,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,T,0
MCOU,2016,GA,4,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,T,0
MCOU,2016,GA,3,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,F,13
FFSU,2015,GA,4,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,T,0
MCOU,2015,GA,4,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,T,0
MCOU,2015,GA,3,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,T,0
MCOU,2015,GA,2,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,T,0
MCOU,2015,GA,1,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,F,14
MCOU,2014,GA,4,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,T,0
FFSU,2020,GA,1,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,F,53
MCOU,2020,GA,1,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,F,1503
MCOU,2019,GA,3,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,F,1327
MCOU,2019,GA,4,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,F,1462
FFSU,2019,GA,2,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,T,0
FFSU,2019,GA,1,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,T,0
MCOU,2019,GA,1,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,F,783
FFSU,2019,GA,4,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,T,0
MCOU,2019,GA,2,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,F,1204
MCOU,2018,GA,2,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,F,583
MCOU,2018,GA,4,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,F,682
MCOU,2018,GA,3,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,F,662
FFSU,2018,GA,1,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,T,0
FFSU,2018,GA,3,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,T,0
MCOU,2018,GA,1,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,F,597
FFSU,2018,GA,4,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,T,0
FFSU,2018,GA,2,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,T,0
MCOU,2017,GA,2,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,F,172
FFSU,2017,GA,3,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,T,0
FFSU,2017,GA,1,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,T,0
FFSU,2017,GA,4,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,T,0
FFSU,2017,GA,2,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,T,0
MCOU,2017,GA,4,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,F,569
MCOU,2017,GA,1,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,F,178
MCOU,2017,GA,3,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,F,271
FFSU,2016,GA,2,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,T,0
FFSU,2016,GA,4,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,T,0
MCOU,2016,GA,4,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,T,0
FFSU,2016,GA,3,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,T,0
FFSU,2016,GA,1,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,T,0
MCOU,2016,GA,1,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,F,171
MCOU,2016,GA,2,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,F,160
MCOU,2016,GA,3,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,F,125
MCOU,2015,GA,2,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,F,301
MCOU,2015,GA,3,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,F,277
MCOU,2015,GA,4,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,F,219
MCOU,2015,GA,1,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,F,308
MCOU,2014,GA,3,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,T,0
MCOU,2014,GA,4,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,F,330
MCOU,2018,GA,3,Buprenorphine,BUPRENORPHINE,5 MCG/1 HR,"Patch, Extended Release",T,0
FFSU,2018,GA,1,Buprenorphine,BUPRENORPHINE,5 MCG/1 HR,"Patch, Extended Release",T,0
FFSU,2017,GA,3,Buprenorphine,BUPRENORPHINE,5 MCG/1 HR,"Patch, Extended Release",T,0
MCOU,2017,GA,3,Buprenorphine,BUPRENORPHINE,5 MCG/1 HR,"Patch, Extended Release",T,0
FFSU,2019,GA,1,Buprenorphine,BUPRENORPHINE,10 MCG/1 HR,"Patch, Extended Release",T,0
MCOU,2018,GA,3,Buprenorphine,BUPRENORPHINE,10 MCG/1 HR,"Patch, Extended Release",T,0
FFSU,2018,GA,2,Buprenorphine,BUPRENORPHINE,10 MCG/1 HR,"Patch, Extended Release",T,0
MCOU,2018,GA,2,Buprenorphine,BUPRENORPHINE,10 MCG/1 HR,"Patch, Extended Release",T,0
FFSU,2018,GA,1,Buprenorphine,BUPRENORPHINE,10 MCG/1 HR,"Patch, Extended Release",T,0
MCOU,2018,GA,1,Buprenorphine,BUPRENORPHINE,10 MCG/1 HR,"Patch, Extended Release",T,0
MCOU,2017,GA,2,Buprenorphine,BUPRENORPHINE,10 MCG/1 HR,"Patch, Extended Release",T,0
MCOU,2017,GA,4,Buprenorphine,BUPRENORPHINE,10 MCG/1 HR,"Patch, Extended Release",T,0
FFSU,2017,GA,4,Buprenorphine,BUPRENORPHINE,10 MCG/1 HR,"Patch, Extended Release",T,0
FFSU,2017,GA,3,Buprenorphine,BUPRENORPHINE,10 MCG/1 HR,"Patch, Extended Release",F,17
MCOU,2017,GA,3,Buprenorphine,BUPRENORPHINE,10 MCG/1 HR,"Patch, Extended Release",F,20
MCOU,2019,GA,1,Buprenorphine,BUPRENORPHINE,15 MCG/1 HR,"Patch, Extended Release",T,0
MCOU,2018,GA,4,Buprenorphine,BUPRENORPHINE,15 MCG/1 HR,"Patch, Extended Release",T,0
MCOU,2017,GA,4,Buprenorphine,BUPRENORPHINE,15 MCG/1 HR,"Patch, Extended Release",T,0
MCOU,2017,GA,3,Buprenorphine,BUPRENORPHINE,15 MCG/1 HR,"Patch, Extended Release",T,0
FFSU,2017,GA,3,Buprenorphine,BUPRENORPHINE,15 MCG/1 HR,"Patch, Extended Release",T,0
MCOU,2019,GA,2,Buprenorphine,BUPRENORPHINE,20 MCG/1 HR,"Patch, Extended Release",T,0
MCOU,2018,GA,3,Buprenorphine,BUPRENORPHINE,20 MCG/1 HR,"Patch, Extended Release",T,0
MCOU,2018,GA,4,Buprenorphine,BUPRENORPHINE,20 MCG/1 HR,"Patch, Extended Release",T,0
FFSU,2018,GA,2,Buprenorphine,BUPRENORPHINE,20 MCG/1 HR,"Patch, Extended Release",T,0
MCOU,2018,GA,1,Buprenorphine,BUPRENORPHINE,20 MCG/1 HR,"Patch, Extended Release",T,0
FFSU,2018,GA,1,Buprenorphine,BUPRENORPHINE,20 MCG/1 HR,"Patch, Extended Release",T,0
FFSU,2018,GA,3,Buprenorphine,BUPRENORPHINE,20 MCG/1 HR,"Patch, Extended Release",T,0
MCOU,2018,GA,2,Buprenorphine,BUPRENORPHINE,20 MCG/1 HR,"Patch, Extended Release",T,0
FFSU,2017,GA,3,Buprenorphine,BUPRENORPHINE,20 MCG/1 HR,"Patch, Extended Release",F,15
MCOU,2017,GA,3,Buprenorphine,BUPRENORPHINE,20 MCG/1 HR,"Patch, Extended Release",T,0
MCOU,2017,GA,4,Buprenorphine,BUPRENORPHINE,20 MCG/1 HR,"Patch, Extended Release",T,0
FFSU,2020,GA,1,Buprenorphine,BUPRENORPHINE,5 MCG/1 HR,"Patch, Extended Release",T,0
MCOU,2020,GA,1,Buprenorphine,BUPRENORPHINE,5 MCG/1 HR,"Patch, Extended Release",T,0
MCOU,2019,GA,3,Buprenorphine,BUPRENORPHINE,5 MCG/1 HR,"Patch, Extended Release",T,0
FFSU,2019,GA,3,Buprenorphine,BUPRENORPHINE,5 MCG/1 HR,"Patch, Extended Release",T,0
MCOU,2019,GA,2,Buprenorphine,BUPRENORPHINE,5 MCG/1 HR,"Patch, Extended Release",T,0
FFSU,2019,GA,2,Buprenorphine,BUPRENORPHINE,5 MCG/1 HR,"Patch, Extended Release",T,0
MCOU,2019,GA,1,Buprenorphine,BUPRENORPHINE,5 MCG/1 HR,"Patch, Extended Release",F,12
MCOU,2019,GA,4,Buprenorphine,BUPRENORPHINE,5 MCG/1 HR,"Patch, Extended Release",F,13
FFSU,2019,GA,4,Buprenorphine,BUPRENORPHINE,5 MCG/1 HR,"Patch, Extended Release",T,0
MCOU,2018,GA,4,Buprenorphine,BUPRENORPHINE,5 MCG/1 HR,"Patch, Extended Release",T,0
FFSU,2020,GA,1,Buprenorphine,BUPRENORPHINE,10 MCG/1 HR,"Patch, Extended Release",T,0
MCOU,2020,GA,1,Buprenorphine,BUPRENORPHINE,10 MCG/1 HR,"Patch, Extended Release",T,0
MCOU,2019,GA,4,Buprenorphine,BUPRENORPHINE,10 MCG/1 HR,"Patch, Extended Release",F,17
FFSU,2019,GA,2,Buprenorphine,BUPRENORPHINE,10 MCG/1 HR,"Patch, Extended Release",T,0
FFSU,2019,GA,3,Buprenorphine,BUPRENORPHINE,10 MCG/1 HR,"Patch, Extended Release",T,0
MCOU,2019,GA,2,Buprenorphine,BUPRENORPHINE,10 MCG/1 HR,"Patch, Extended Release",T,0
MCOU,2019,GA,3,Buprenorphine,BUPRENORPHINE,10 MCG/1 HR,"Patch, Extended Release",T,0
MCOU,2019,GA,1,Buprenorphine,BUPRENORPHINE,10 MCG/1 HR,"Patch, Extended Release",T,0
FFSU,2019,GA,4,Buprenorphine,BUPRENORPHINE,10 MCG/1 HR,"Patch, Extended Release",T,0
MCOU,2018,GA,4,Buprenorphine,BUPRENORPHINE,10 MCG/1 HR,"Patch, Extended Release",T,0
FFSU,2020,GA,1,Buprenorphine,BUPRENORPHINE,15 MCG/1 HR,"Patch, Extended Release",T,0
MCOU,2020,GA,1,Buprenorphine,BUPRENORPHINE,15 MCG/1 HR,"Patch, Extended Release",F,22
MCOU,2019,GA,4,Buprenorphine,BUPRENORPHINE,15 MCG/1 HR,"Patch, Extended Release",F,14
FFSU,2019,GA,2,Buprenorphine,BUPRENORPHINE,15 MCG/1 HR,"Patch, Extended Release",T,0
FFSU,2019,GA,3,Buprenorphine,BUPRENORPHINE,15 MCG/1 HR,"Patch, Extended Release",T,0
MCOU,2019,GA,3,Buprenorphine,BUPRENORPHINE,15 MCG/1 HR,"Patch, Extended Release",T,0
MCOU,2019,GA,2,Buprenorphine,BUPRENORPHINE,15 MCG/1 HR,"Patch, Extended Release",F,16
FFSU,2019,GA,4,Buprenorphine,BUPRENORPHINE,15 MCG/1 HR,"Patch, Extended Release",T,0
FFSU,2020,GA,1,Buprenorphine,BUPRENORPHINE,20 MCG/1 HR,"Patch, Extended Release",F,12
